tax_delinquency,cartodb_id,tract_10,sba_name,ccd_name,cd_name,boro_name,city_name,bbl,ser_violation,assessed_value,owner_name,res_units,year_built,buildings,standard_address
,3439450,36085004000,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5029220150,1,9235800,185-225 PARK HILL COR,305,1970,3,225 Park Hill Avenue
,3440271,36085004000,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5028930001,1,4317300,TERRACE GARDENS HOUSI,98,1972,1,195 Steuben Street
,3441540,36085004000,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5028770025,1,6768450,CONCORD SEASIDE HOUSI,156,1973,1,55 Bowen Street
,3442973,36085010500,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5001820062,,2054250,OLIVET ST VINCENT HDF,34,1986,1,101 Myrtle Avenue
,3443805,36085009700,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5001690001,1,5343750,MARKHAM GARDENS L.P.,240,2007,31,60 North Burgher Avenue
,3445196,36085008100,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5000710025,,2148300,NYC HOUSING AUTHORITY,115,1971,1,71 Clinton Avenue
1,3445737,36085009700,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5001690035,,2664000,MARKHAM GARDENS MANOR,80,2011,1,1440 Richmond Terrace
,3446563,36085001100,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5000440001,,542700,FAIRWAY RICHMOND HOUS,16,1984,1,369 Jersey Street
,3446624,36085000900,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5000490001,,671850,FAIRWAY RICHMOND HOUS,31,1984,2,247 Jersey Street
,3447331,36085000700,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5000510001,,4032000,NYC HOUSING AUTHORITY,174,1963,3,163 Jersey Street
,3447662,36085001100,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5000440015,,252450,150 HENDRICKS LLC,11,2003,1,150 Hendricks Avenue
,3448308,36085000700,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5000510030,,4168800,NYC HOUSING AUTHORITY,328,1963,4,43 Jersey Street
,3448468,36085008100,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5000710001,,2352600,NYC HOUSING AUTHORITY,109,1971,1,105 Cassidy Place
,3449317,36085004000,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5029250463,,395675,CELEBRATION TOWNHOUSE,10,2000,1,330 Skyline Drive
,3449348,36085004000,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5029250473,,235818,CELEBRATION TOWNHOUSE,6,1999,1,106 Circle Loop
,3449503,36085004000,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5029250390,,314045,CELEBRATION TOWNHOUSE,8,1999,1,121A Circle Loop
,3449655,36085004000,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5029250486,,353160,CELEBRATION TOWNHOUSE,9,2000,10,302 Skyline Drive
,3449977,36085004000,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5029250479,,1093050,CELEBRATION TOWNHOUSE,19,2000,1,46 Circle Loop
,3451090,36085004000,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5028690023,,532800,FAIRWAY HOUSING ASSOC,12,1950,6,31 Park Hill Lane
,3451303,36085004000,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5029250450,,853650,CELEBRATION TOWNHOUSE,11,2000,11,295 Skyline Drive
,3451312,36085004000,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5029250432,,675000,CELEBRATION TOWNHOUSE,11,1999,12,361 Skyline Drive
,3451330,36085004000,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5029220001,1,9676800,"KIMSO APARTMENTS,LLC",404,1968,3,240 Park Hill Avenue
,3451487,36085004000,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5028690001,,1377450,FAIRWAY HOUSING ASSOC,36,1950,12,30 Park Hill Court
1,3451916,36085002900,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5005450100,,13248450,SI-HOUSING PARTNERSHI,693,1962,9,210 Broad Street
,3452029,36085004000,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5029220265,1,9748800,"POONAM APARTMENTS, LL",403,1966,3,140 Park Hill Avenue
,3452122,36085004000,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5028710001,1,8319600,"FOX HILL PARTNERS, L",361,1965,3,141 Park Hill Avenue
,3452154,36085004000,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5028670214,1,1397700,TOMPKINS COURT APTS L,108,1998,7,30 Kimberly Lane
,3452179,36085004000,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5028690165,,1018350,FAIRWAY HOUSING ASSOC,70,1950,21,10 Park Hill Avenue
,3452655,36085002700,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5005240043,,167142,ATLAN HOLDING LLC,5,2001,1,69 Thompson Street
,3452731,36085002900,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5005450040,,4641300,NEW YORK CITY HOUSING,105,2010,1,180 Broad Street
,3452914,36085002700,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5005240044,1,151515,"ALTAN HOLDING, LLC",5,2007,1,71 Thompson Street
,3452942,36085002100,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5005380035,,613800,SR. LOUISE DEMARILLAC,19,2007,1,19 Hygeia Place
,3453325,36085000600,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5028290094,,448200,HY CLIFF LLC,18,2002,1,59 Hylan Boulevard
,3453613,36085000300,North Shore,City Council District 49,SI 01 - St. George/Stapleton,Staten Island,New York City,5000160031,,210765,NASO MONTGOMERY LLC,5,2008,1,85 Montgomery Avenue
,3453817,36005017300,Highbridge/South Concourse,City Council District 17,BX 04 - Highbridge/Concourse,Bronx,New York City,2024220052,1,219150,GRAND CONCOURSE EASTH,21,1911,1,291 East 162 Street
,3453820,36005014100,Morrisania/Belmont,City Council District 17,BX 03 - Morrisania/Crotona,Bronx,New York City,2023830003,,279450,"MELROSE CLUSTER, L.P.",26,1925,1,892 Melrose Avenue
,3453822,36005017500,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2024330045,1,143733,"BECK STREET CLUSTER,",8,1931,1,1052 Findlay Avenue
,3453836,36005014100,Morrisania/Belmont,City Council District 17,BX 03 - Morrisania/Crotona,Bronx,New York City,2023820037,1,164700,407 E. 160 DEVELOPMEN,39,,1,407 East 160 Street
,3453843,36005018302,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2024470050,,104850,SECOND CANTERBURY HOU,12,1912,1,266 East 165 Street
,3453845,36005017500,Highbridge/South Concourse,City Council District 16,BX 04 - Highbridge/Concourse,Bronx,New York City,2024290001,,980100,NYC HOUSING AUTHORITY,90,1972,1,1100 Teller Avenue
